id	annotatorid	label	a1	a2
3185_3052	goldLabel	a2	Autonomous cars will reduce number of accidents since most accidents are due to a human error.	Self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.
3181_3138	goldLabel	a2	Even only 5% of autonomous vehicles could have a significant impact in eliminating waste and reducing the total fuel consumption by up to 40%.	Drivers admitted failure to report collisions at 29%. Therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.
2975_2984	goldLabel	a2	Autonomous cars will never get tired nor be influenced by drugs and alcohol, hence they will be safer than human controlled cars.	"Because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the United States alone each year.

"
3504_3175	goldLabel	a1	Autonomous cars will make roads safer because the cars will drive slower to precisely follow all traffic rules.	Autonomous cars will give people who are blind a great expansion in independence and quality of life.
2880_3022	goldLabel	a1	Autonomous cars will drive much smoother and therefor produce less pollution 	the autonomous car is a good idea to avoid jams
2924_3181	goldLabel	a2	Many drivers today simply do what their GPS app tell them to, so why not use self-driving cars to do the whole process	Even only 5% of autonomous vehicles could have a significant impact in eliminating waste and reducing the total fuel consumption by up to 40%.
3338_3493	goldLabel	a2	Autonomous vehicles will be safer especially trucks. People who say trucking is the most popular job in America are wrong and  only a relatively few people will lose jobs. See https://www.marketwatch.com/story/no-truck-driver-isnt-the-most-common-job-in-your-state-2015-02-12	"Autonomous cars will reduce the 40,000 casualties a year (in the US alone) by two orders of magnitude.



Don't drive - save lives - let the computer do that for you"
3104_3171	goldLabel	a2	Autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams. 	Autonomous cars have already demonstrated a lower risk of accidents than human drivers in real world conditions.
3260_2813	goldLabel	a1	Autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them. 	We should not stop the development of autonomous cars, but we need proper assignment of responsibility to their makers, else safety will fall short.
2830_2859	goldLabel	a1	Much like the 'space race', the development of autonomous cars will produce technology that can be applied to universally to solve other problems.	We should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.
3117_2927	goldLabel	a2	Autonomous vehicle will ameliorate the harm  caused by car accidents.	Driving is dangerous for humans. Autonomous cars could make driving safer.
3210_3169	goldLabel	a1	It has never been possible to stop the development of high-level technologies in a free-market society.  Autonomous vehicle development will continue to have direct (safety, ease of use) benefits as well as indirect ones (AIsystemimprovements)thatwilldrivethemarket	Humans often perceive their ability to be higher than it truly is and thus behave dangerously while driving because they think they are especially good drivers; autonomous vehicle has an accurate perception of its abilities.
3199_2768	goldLabel	a2	Autonomous vehicles to replace truckers and cab drivers will allow us to scale to a smaller number of humans making society more sustainable. 	Autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.
3083_3156	goldLabel	a1	As long as human kind exist in this world, there is need for transportation, however having autonomous vehicle would let human to spend time on gaining  new skills beyond just driving. 	I waste a lot of time on my commute every day. I wish I had an autonomous car to give me back several hours a week that I could use for other things.
3169_2802	goldLabel	a1	Humans often perceive their ability to be higher than it truly is and thus behave dangerously while driving because they think they are especially good drivers; autonomous vehicle has an accurate perception of its abilities.	Lets face it, the machines are better at dealing with other machines, and machines dealing with cars are a lot better than people dealing with cars, so we need self-driving car.
3340_3180	goldLabel	a2	More testing is needed, but autonomous cars of future would lower road rage by design. Aggressive and unsafe driving is not allowed by design - just a safe drive from point A to B. 	Research into the development of fully autonomous vehicles will invariably produce breakthroughs  in sensor technology, machine vision, and other related domains that will find application in other fields benefitting society. 
2984_3485	goldLabel	a1	"Because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the United States alone each year.

"	Driverless cars remove the cost of the time spent by a driver, which is a natural step in making transportation cheaper. 
2852_2945	goldLabel	a1	Humans are notoriously bad drivers so even if autonomous vehicles are not yet perfect, over time they can significantly improve accident rates, congestion, pollution, and reduce insurance costs.	Technological progress is inevitable. We need ambitious goals, like developing autonomous cars, to inspire young people to pursue careers in technology so that our rate of progress can continue.
2949_2962	goldLabel	a2	With an autonomous cars we will no longer need to make space for parking lots or structures, instead we will have an ever moving pool of vehicles to drive us.	Driving is, by far, the MOST dangerous activity a human will do in their lifetime.  Autonomous cars can provide a safe mode of transportation and save the lives of motorists.
3309_2919	goldLabel	a2	Autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.	Autonomous cars will be more efficient, allowing the easy sharing of vehicles in a metropolitan area, also reducing miles driven, energy usage and pollution.
2898_3156	goldLabel	a1	Autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. Autonomous vehicles may not text while driving. They do not get intoxicated either.	I waste a lot of time on my commute every day. I wish I had an autonomous car to give me back several hours a week that I could use for other things.
2865_3489	goldLabel	a1	If all human drivers are replaced by autonomous vehicles, there will no longer be a need for traffic lights and other traffic management systems which add significant overhead to all driving.	Even if one has concerns about the deployment of autonomous cars, stopping their development is unwise because new things can be learned and it is likely they have some future role to play.
2768_3416	goldLabel	a1	Autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	Autonomous cars will be safer because they do not get drunk, nor do they take mind altering drugs, nor do they get tired.
2735_3357	goldLabel	a2	Thomas Edison would argue to continue autonomous car development since his spirit of perseverance is captured in his famous quote: “I have not failed. I've just found 10,000 ways that won't work.” 	Humans tend to break rules, intentionally or unintentionally. Autonomous cars will stick with the rules and will perform better on the road, leading to better order and efficiencies.
3048_3117	goldLabel	a1	Autonomous cars will ease people and reduce traffic	Autonomous vehicle will ameliorate the harm  caused by car accidents.
